basename,orbit,mirror,filter,hole,energy_keV,funnelling_eff,funnelling_eff_err,geom_factor_cm2,total_particles,total_particles_err,cl
output_DCC_filterOff_50keV_ss_N100k.root,45-deg,DCC,filterOff,withoutOpening,50,6.300000e-04,7.934753e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DCC_filterOn_50keV_ss_N100k.root,45-deg,DCC,filterOn,withoutOpening,50,8.000000e-05,2.828314e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DPH_filterOff_50keV_ss_N100k.root,45-deg,DPH,filterOff,withoutOpening,50,7.100000e-04,8.423158e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DPH_filterOn_50keV_ss_N100k.root,45-deg,DPH,filterOn,withoutOpening,50,8.000000e-05,2.828314e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_SP_filterOff_50keV_ss_N100k.root,45-deg,SP,filterOff,withoutOpening,50,4.300000e-04,6.556029e-05,5.275936e-02,0.000000e+00,0.000000e+00,CL95
output_SP_filterOn_50keV_ss_N100k.root,45-deg,SP,filterOn,withoutOpening,50,1.000000e-05,9.999950e-06,5.275936e-02,0.000000e+00,0.000000e+00,CL95
output_DCC_filterOff_1000keV_option4_N1m.root,45-deg,DCC,filterOff,withoutOpening,1000,8.280000e-04,2.876307e-05,4.708164e-02,1.588037e+06,5.516525e+04,CL95
output_DCC_filterOff_100keV_ss_N300k.root,45-deg,DCC,filterOff,withoutOpening,100,8.200000e-04,5.225985e-05,4.708164e-02,1.034989e+06,6.596146e+04,CL95
output_DCC_filterOff_250keV_ss_N300k.root,45-deg,DCC,filterOff,withoutOpening,250,8.266667e-04,5.247168e-05,4.708164e-02,1.442448e+06,9.155770e+04,CL95
output_DCC_filterOff_500keV_option4_N1m.root,45-deg,DCC,filterOff,withoutOpening,500,6.100000e-04,2.469064e-05,4.708164e-02,1.321771e+06,5.350060e+04,CL95
output_DCC_filterOn_1000keV_option4_N1m.root,45-deg,DCC,filterOn,withoutOpening,1000,8.810000e-04,2.966857e-05,4.708164e-02,1.689687e+06,5.690191e+04,CL95
output_DCC_filterOn_100keV_ss_N300k.root,45-deg,DCC,filterOn,withoutOpening,100,3.000000e-04,3.161803e-05,4.708164e-02,3.786547e+05,3.990772e+04,CL95
output_DCC_filterOn_250keV_ss_N300k.root,45-deg,DCC,filterOn,withoutOpening,250,7.166667e-04,4.885874e-05,4.708164e-02,1.250510e+06,8.525349e+04,CL95
output_DCC_filterOn_500keV_option4_N1m.root,45-deg,DCC,filterOn,withoutOpening,500,5.910000e-04,2.430331e-05,4.708164e-02,1.280601e+06,5.266131e+04,CL95
output_DPH_filterOff_1000keV_option4_N1m.root,45-deg,DPH,filterOff,withoutOpening,1000,8.140000e-04,2.851907e-05,4.708164e-02,1.561186e+06,5.469727e+04,CL95
output_DPH_filterOff_100keV_ss_N300k.root,45-deg,DPH,filterOff,withoutOpening,100,7.566667e-04,5.020273e-05,4.708164e-02,9.550513e+05,6.336499e+04,CL95
output_DPH_filterOff_250keV_ss_N300k.root,45-deg,DPH,filterOff,withoutOpening,250,8.666667e-04,5.372509e-05,4.708164e-02,1.512244e+06,9.374476e+04,CL95
output_DPH_filterOff_500keV_option4_N1m.root,45-deg,DPH,filterOff,withoutOpening,500,5.950000e-04,2.438536e-05,4.708164e-02,1.289268e+06,5.283911e+04,CL95
output_DPH_filterOn_1000keV_option4_N1m.root,45-deg,DPH,filterOn,withoutOpening,1000,8.600000e-04,2.931314e-05,4.708164e-02,1.649410e+06,5.622024e+04,CL95
output_DPH_filterOn_100keV_ss_N300k.root,45-deg,DPH,filterOn,withoutOpening,100,2.733333e-04,3.018049e-05,4.708164e-02,3.449965e+05,3.809328e+04,CL95
output_DPH_filterOn_250keV_ss_N300k.root,45-deg,DPH,filterOn,withoutOpening,250,6.600000e-04,4.688868e-05,4.708164e-02,1.151632e+06,8.181592e+04,CL95
output_DPH_filterOn_500keV_option4_N1m.root,45-deg,DPH,filterOn,withoutOpening,500,5.440000e-04,2.331746e-05,4.708164e-02,1.178759e+06,5.052514e+04,CL95
output_SP_filterOff_1000keV_option4_N1m.root,45-deg,SP,filterOff,withoutOpening,1000,4.740000e-04,2.176638e-05,5.275936e-02,1.018724e+06,4.678045e+04,CL95
output_SP_filterOff_100keV_ss_N300k.root,45-deg,SP,filterOff,withoutOpening,100,3.966667e-04,3.635516e-05,5.275936e-02,5.610424e+05,5.142047e+04,CL95
output_SP_filterOff_250keV_ss_N300k.root,45-deg,SP,filterOff,withoutOpening,250,4.700000e-04,3.957184e-05,5.275936e-02,9.190003e+05,7.737560e+04,CL95
output_SP_filterOff_500keV_option4_N1m.root,45-deg,SP,filterOff,withoutOpening,500,3.860000e-04,1.964309e-05,5.275936e-02,9.372630e+05,4.769622e+04,CL95
output_SP_filterOn_1000keV_option4_N1m.root,45-deg,SP,filterOn,withoutOpening,1000,4.600000e-04,2.144268e-05,5.275936e-02,9.886351e+05,4.608475e+04,CL95
output_SP_filterOn_100keV_ss_N300k.root,45-deg,SP,filterOn,withoutOpening,100,2.133333e-04,2.666382e-05,5.275936e-02,3.017371e+05,3.771312e+04,CL95
output_SP_filterOn_250keV_ss_N300k.root,45-deg,SP,filterOn,withoutOpening,250,4.233333e-04,3.755681e-05,5.275936e-02,8.277520e+05,7.343557e+04,CL95
output_SP_filterOn_500keV_option4_N1m.root,45-deg,SP,filterOn,withoutOpening,500,3.720000e-04,1.928371e-05,5.275936e-02,9.032690e+05,4.682361e+04,CL95
output_DCC_filterOff_50keV_ss_N100k.root,98-deg,DCC,filterOff,withOpening,50,7.700000e-04,8.771585e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DCC_filterOn_50keV_ss_N100k.root,98-deg,DCC,filterOn,withOpening,50,9.000000e-05,2.999865e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DPH_filterOff_50keV_ss_N100k.root,98-deg,DPH,filterOff,withOpening,50,8.500000e-04,9.215625e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DPH_filterOn_50keV_ss_N100k.root,98-deg,DPH,filterOn,withOpening,50,9.000000e-05,2.999865e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_SP_filterOff_50keV_ss_N100k.root,98-deg,SP,filterOff,withOpening,50,5.600000e-04,7.481219e-05,5.275936e-02,0.000000e+00,0.000000e+00,CL95
output_SP_filterOn_50keV_ss_N100k.root,98-deg,SP,filterOn,withOpening,50,2.000000e-05,1.414199e-05,5.275936e-02,0.000000e+00,0.000000e+00,CL95
output_DCC_filterOff_1000keV_option4_N1m.root,98-deg,DCC,filterOff,withOpening,1000,9.040000e-04,3.005300e-05,4.708164e-02,2.973127e+06,9.884003e+04,CL95
output_DCC_filterOff_100keV_ss_N300k.root,98-deg,DCC,filterOff,withOpening,100,8.700000e-04,5.382822e-05,4.708164e-02,1.228426e+07,7.600455e+05,CL95
output_DCC_filterOff_250keV_ss_N300k.root,98-deg,DCC,filterOff,withOpening,250,9.066667e-04,5.494981e-05,4.708164e-02,7.578313e+06,4.592944e+05,CL95
output_DCC_filterOff_500keV_option4_N1m.root,98-deg,DCC,filterOff,withOpening,500,6.680000e-04,2.583706e-05,4.708164e-02,4.084263e+06,1.579721e+05,CL95
output_DCC_filterOn_1000keV_option4_N1m.root,98-deg,DCC,filterOn,withOpening,1000,9.650000e-04,3.104946e-05,4.708164e-02,3.173748e+06,1.021172e+05,CL95
output_DCC_filterOn_100keV_ss_N300k.root,98-deg,DCC,filterOn,withOpening,100,3.266667e-04,3.299293e-05,4.708164e-02,4.612479e+06,4.658546e+05,CL95
output_DCC_filterOn_250keV_ss_N300k.root,98-deg,DCC,filterOn,withOpening,250,7.700000e-04,5.064277e-05,4.708164e-02,6.435994e+06,4.232943e+05,CL95
